pi_Time1	pi_Time2	pi_Time3	pi_Present	pi_Anadyr	pi_Cook	pi_Bristol
0.3053384	0.3759648	0.3259567	0.326036	0.3488388	0.3054666	0.3284821
0.3033117	0.3591693	0.3385404	0.3335666	0.3399443	0.3116033	0.3248001
0.3607674	0.3548651	0.3316089	0.3415537	0.3462062	0.3174062	0.3375584
0.321791	0.335109	0.3246971	0.3326972	0.326596	0.3558301	0.3449779
0.2932088	0.3316963	0.3417758	0.3521935	0.3511938	0.3531843	0.3248976
0.3125415	0.3292238	0.3190273	0.3418713	0.3512946	0.3061899	0.3388663
0.3298631	0.3201723	0.3500578	0.3144697	0.3452406	0.2823092	0.3240967
0.3409597	0.3184188	0.3153494	0.3347622	0.3178232	0.2901981	0.3352947
0.321741	0.3175699	0.3369813	0.3255147	0.316626	0.2549627	0.3221512
0.3013583	0.3347693	0.3214706	0.3194405	0.2888518	0.2887214	0.3053663
0.3399185	0.3348836	0.3515032	0.3100373	0.2937602	0.2776988	0.3275875
0.2796516	0.3316831	0.3267453	0.3267903	0.2919502	0.3251676	0.3018551
0.2983566	0.3306696	0.3059755	0.3264667	0.3209197	0.3463118	0.3438802
0.2944623	0.3410477	0.3112119	0.3526979	0.3130016	0.304201	0.3292898
0.3443823	0.3301171	0.3342714	0.2815895	0.3559772	0.3208928	0.3174934
0.370509	0.3292224	0.3430074	0.3367636	0.3215125	0.3082576	0.3369123
0.3602009	0.3308468	0.3461509	0.3634566	0.3547441	0.3362257	0.3421086
0.3386994	0.3575653	0.3572606	0.375366	0.3429179	0.3368762	0.3711642
0.3312513	0.3303412	0.3322172	0.3459679	0.2940017	0.3252791	0.3006372
0.3262959	0.3501149	0.3572938	0.3357853	0.3237666	0.2411481	0.2990098
0.372284	0.3394918	0.3031939	0.2903514	0.3190971	0.3006023	0.2957636
0.3710439	0.3726131	0.373406	0.3470928	0.328008	0.3038027	0.3022345
0.2921672	0.2972329	0.297013	0.2961802	0.295652	0.3044238	0.3263437
0.3156091	0.3780379	0.3549481	0.3649136	0.3217897	0.291164	0.3292652
0.336458	0.3120095	0.3437106	0.3331763	0.3438084	0.334496	0.306539
0.3454257	0.3499245	0.3656205	0.303328	0.3214669	0.2874229	0.3427719
0.3185714	0.3395672	0.3302942	0.3442746	0.3167653	0.2060929	0.3145249
0.343519	0.342875	0.3371988	0.3255902	0.3396999	0.3067335	0.3501439
0.3187959	0.3333613	0.3389345	0.32101	0.3374547	0.3042028	0.3534848
0.3175162	0.3234061	0.3029456	0.3349231	0.3184243	0.2996984	0.3367028
0.3605325	0.3291598	0.319669	0.3212786	0.3139541	0.3136827	0.3440123
0.346202	0.3279167	0.3051087	0.3359163	0.3106788	0.3090719	0.3399876
0.3098751	0.3511344	0.3451426	0.3546787	0.3150681	0.26548	0.3283191
0.3654228	0.3554823	0.3358389	0.3247012	0.3464383	0.288587	0.323593
0.346602	0.3331404	0.3607102	0.3321726	0.3405045	0.3065699	0.2819245
